110,107
18,56,3
18,58,-3
18,59,-5
18,62,3
18,62,5
18,64,5
18,67,-1
18,70,5
20,11,-4
20,16,1
20,16,1
20,18,3
20,20,1
20,22,-1
20,25,-1
20,26,-5
20,28,4
20,28,-3
20,29,-5
20,30,4
20,36,1
20,37,4
20,38,-5
20,39,-5
20,43,1
20,45,-1
20,47,1
20,48,-1
20,50,5
20,50,5
20,51,-3
20,54,1
20,56,3
20,58,-3
20,59,-5
20,62,3
20,62,5
20,64,5
20,67,-1
20,70,5
20,70,5
20,72,-4
20,74,-2
20,74,4
20,77,-4
20,79,-4
20,81,-4
20,82,2
20,83,3
20,86,5
20,86,3
20,86,-2
20,87,5
20,88,4
20,89,-5
20,89,-3
20,93,-5
20,96,-1
20,96,-3
20,96,5
20,96,3
20,96,-2
20,100,-3
20,100,2
20,105,2
20,107,5
20,109,1
20,110,3
20,110,1
20,113,-2
20,113,-5
20,114,5
22,28,-3
22,29,-5
22,30,4
22,36,1
22,37,4
22,38,-5
22,39,-5
22,43,1
22,45,-1
22,47,1
22,48,-1
22,50,5
22,50,5
22,51,-3
22,54,1
22,56,3
22,58,-3
22,59,-5
22,62,3
22,62,5
22,64,5
22,67,-1
22,70,5
22,70,5
22,72,-4
22,74,-2
22,74,4
22,77,-4
22,79,-4
22,81,-4
22,82,2
22,83,3
22,86,5
22,86,3
22,86,-2
22,87,5
22,88,4
22,89,-5
22,89,-3
22,93,-5
22,96,-1
22,96,-3
22,96,5
22,96,3
22,96,-2
22,100,-3
22,100,2
22,105,2
22,107,5
22,109,1
22,110,3
22,110,1
22,113,-2
22,113,-5
22,114,5
22,115,-4
22,116,4
22,119,-2
22,120,-4
22,120,1
22,122,-4
22,123,-5
22,123,-3
22,125,3
22,127,4
22,127,4
22,128,-2
22,129,-2
22,130,-2
22,130,-1
22,132,-1
23,132,-5
23,134,-5
23,136,-5
23,138,-5
23,139,2
23,143,-3
23,146,-2
23,147,5
23,147,-4
23,149,4
23,152,5
23,152,5
25,89,-5
25,89,-3
25,93,-5
25,96,-1
25,96,-3
25,96,5
25,96,3
25,96,-2
25,100,-3
25,100,2
25,105,2
25,107,5
25,109,1
26,110,3
26,110,1
26,113,-2
26,113,-5
26,114,5
26,115,-4
26,116,4
26,119,-2
26,120,-4
26,120,1
26,122,-4
26,123,-5
26,123,-3
26,125,3
26,127,4
26,127,4
26,128,-2
26,129,-2
26,130,-2
26,130,-1
26,132,-1
26,132,-5
26,134,-5
29,8,2
29,9,1
29,10,-2
29,10,-5
29,11,-4
29,16,1
29,16,1
29,18,3
30,20,1
30,22,-1
30,25,-1
31,26,-5
31,28,4
31,28,-3
31,29,-5
31,30,4
31,36,1
31,37,4
31,38,-5
31,39,-5
32,43,1
32,45,-1
32,47,1
32,48,-1
32,50,5
32,50,5
32,51,-3
32,54,1
33,56,3
33,58,-3
33,59,-5
33,62,3
33,62,5
33,64,5
33,67,-1
33,70,5
33,70,5
33,72,-4
33,74,-2
34,74,4
34,77,-4
34,79,-4
34,81,-4
34,82,2
34,83,3
34,86,5
34,86,3
34,86,-2
34,87,5
34,88,4
34,89,-5
34,89,-3
34,93,-5
34,96,-1
34,96,-3
34,96,5
34,96,3
34,96,-2
34,100,-3
34,100,2
34,105,2
34,107,5
34,109,1
34,110,3
34,110,1
34,113,-2
34,113,-5
34,114,5
34,115,-4
34,116,4
34,119,-2
34,120,-4
34,120,1
34,122,-4
34,123,-5
34,123,-3
34,125,3
34,127,4
34,127,4
34,128,-2
34,129,-2
34,130,-2
34,130,-1
34,132,-1
34,132,-5
34,134,-5
34,136,-5
34,138,-5
34,139,2
34,143,-3
34,146,-2
34,147,5
34,147,-4
34,149,4
34,152,5
34,152,5
34,152,3
34,154,5
34,158,-5
34,160,-3
37,37,4
37,38,-5
37,39,-5
37,43,1
37,45,-1
37,47,1
37,48,-1
37,50,5
37,50,5
37,51,-3
37,54,1
37,56,3
37,58,-3
37,59,-5
37,62,3
37,62,5
37,64,5
37,67,-1
37,70,5
37,70,5
37,72,-4
37,74,-2
37,74,4
37,77,-4
37,79,-4
37,81,-4
37,82,2
37,83,3
37,86,5
37,86,3
37,86,-2
37,87,5
37,88,4
37,89,-5
37,89,-3
37,93,-5
37,96,-1
37,96,-3
37,96,5
37,96,3
37,96,-2
37,100,-3
37,100,2
37,105,2
37,107,5
37,109,1
37,110,3
37,110,1
37,113,-2
37,113,-5
37,114,5
37,115,-4
37,116,4
37,119,-2
37,120,-4
37,120,1
37,122,-4
37,123,-5
37,123,-3
37,125,3
37,127,4
37,127,4
37,128,-2
37,129,-2
37,130,-2
37,130,-1
37,132,-1
37,132,-5
37,134,-5
37,136,-5
37,138,-5
37,139,2
37,143,-3
37,146,-2
37,147,5
37,147,-4
37,149,4
37,152,5
37,152,5
37,152,3
37,154,5
39,2,0
39,2,3
39,4,1
39,5,-4
39,8,2
39,9,1
39,10,-2
39,10,-5
39,11,-4
39,16,1
39,16,1
39,18,3
39,20,1
39,22,-1
39,25,-1
39,26,-5
39,28,4
39,28,-3
39,29,-5
39,30,4
39,36,1
39,37,4
39,38,-5
39,39,-5
39,43,1
39,45,-1
39,47,1
39,48,-1
39,50,5
39,50,5
39,51,-3
39,54,1
39,56,3
39,58,-3
39,59,-5
39,62,3
39,62,5
39,64,5
39,67,-1
39,70,5
39,70,5
39,72,-4
39,74,-2
39,74,4
39,77,-4
39,79,-4
39,81,-4
39,82,2
39,83,3
40,86,5
40,86,3
40,86,-2
40,87,5
40,88,4
41,89,-5
41,89,-3
41,93,-5
41,96,-1
41,96,-3
41,96,5
41,96,3
41,96,-2
41,100,-3
41,100,2
41,105,2
41,107,5
41,109,1
41,110,3
41,110,1
41,113,-2
41,113,-5
41,114,5
42,115,-4
43,116,4
43,119,-2
43,120,-4
43,120,1
43,122,-4
43,123,-5
43,123,-3
43,125,3
45,62,3
45,62,5
45,64,5
45,67,-1
45,70,5
45,70,5
45,72,-4
45,74,-2
45,74,4
45,77,-4
45,79,-4
45,81,-4
45,82,2
45,83,3
45,86,5
45,86,3
45,86,-2
45,87,5
45,88,4
45,89,-5
45,89,-3
45,93,-5
45,96,-1
45,96,-3
45,96,5
46,96,3
46,96,-2
46,100,-3
46,100,2
46,105,2
46,107,5
46,109,1
46,110,3
46,110,1
46,113,-2
46,113,-5
46,114,5
46,115,-4
46,116,4
46,119,-2
46,120,-4
46,120,1
46,122,-4
46,123,-5
46,123,-3
46,125,3
46,127,4
46,127,4
46,128,-2
46,129,-2
46,130,-2
46,130,-1
46,132,-1
46,132,-5
46,134,-5
47,136,-5
47,138,-5
47,139,2
47,143,-3
47,146,-2
47,147,5
47,147,-4
48,149,4
51,45,-1
51,47,1
51,48,-1
51,50,5
51,50,5
51,51,-3
51,54,1
51,56,3
51,58,-3
51,59,-5
51,62,3
51,62,5
51,64,5
51,67,-1
51,70,5
51,70,5
51,72,-4
51,74,-2
51,74,4
51,77,-4
52,79,-4
52,81,-4
52,82,2
52,83,3
52,86,5
52,86,3
52,86,-2
52,87,5
52,88,4
52,89,-5
52,89,-3
52,93,-5
52,96,-1
52,96,-3
52,96,5
52,96,3
52,96,-2
52,100,-3
52,100,2
54,79,-4
54,81,-4
54,82,2
54,83,3
54,86,5
54,86,3
54,86,-2
54,87,5
54,88,4
54,89,-5
54,89,-3
54,93,-5
54,96,-1
54,96,-3
54,96,5
54,96,3
54,96,-2
54,100,-3
54,100,2
54,105,2
54,107,5
54,109,1
54,110,3
54,110,1
54,113,-2
54,113,-5
54,114,5
54,115,-4
54,116,4
54,119,-2
54,120,-4
54,120,1
54,122,-4
54,123,-5
54,123,-3
54,125,3
54,127,4
54,127,4
54,128,-2
54,129,-2
54,130,-2
54,130,-1
54,132,-1
54,132,-5
54,134,-5
54,136,-5
56,29,-5
56,30,4
56,36,1
56,37,4
56,38,-5
56,39,-5
56,43,1
56,45,-1
56,47,1
56,48,-1
56,50,5
56,50,5
56,51,-3
56,54,1
56,56,3
56,58,-3
56,59,-5
56,62,3
56,62,5
56,64,5
58,2,3
58,4,1
58,5,-4
58,8,2
58,9,1
58,10,-2
58,10,-5
58,11,-4
58,16,1
58,16,1
58,18,3
59,20,1
59,22,-1
59,25,-1
59,26,-5
59,28,4
59,28,-3
59,29,-5
59,30,4
59,36,1
59,37,4
59,38,-5
59,39,-5
59,43,1
59,45,-1
59,47,1
59,48,-1
59,50,5
59,50,5
59,51,-3
59,54,1
59,56,3
59,58,-3
59,59,-5
59,62,3
59,62,5
59,64,5
59,67,-1
59,70,5
59,70,5
59,72,-4
59,74,-2
59,74,4
59,77,-4
59,79,-4
59,81,-4
59,82,2
59,83,3
59,86,5
59,86,3
59,86,-2
59,87,5
59,88,4
59,89,-5
59,89,-3
59,93,-5
59,96,-1
59,96,-3
59,96,5
59,96,3
59,96,-2
59,100,-3
59,100,2
59,105,2
59,107,5
59,109,1
60,110,3
60,110,1
60,113,-2
60,113,-5
60,114,5
60,115,-4
60,116,4
60,119,-2
60,120,-4
60,120,1
60,122,-4
60,123,-5
60,123,-3
60,125,3
60,127,4
60,127,4
60,128,-2
60,129,-2
60,130,-2
60,130,-1
60,132,-1
60,132,-5
60,134,-5
60,136,-5
60,138,-5
60,139,2
60,143,-3
60,146,-2
60,147,5
60,147,-4
60,149,4
60,152,5
60,152,5
60,152,3
60,154,5
60,158,-5
60,160,-3
60,162,5
62,113,-5
62,114,5
62,115,-4
62,116,4
62,119,-2
62,120,-4
62,120,1
62,122,-4
62,123,-5
62,123,-3
62,125,3
62,127,4
62,127,4
62,128,-2
62,129,-2
64,50,5
64,51,-3
64,54,1
64,56,3
64,58,-3
64,59,-5
64,62,3
64,62,5
64,64,5
64,67,-1
64,70,5
64,70,5
64,72,-4
64,74,-2
64,74,4
64,77,-4
64,79,-4
64,81,-4
64,82,2
65,83,3
65,86,5
65,86,3
65,86,-2
65,87,5
65,88,4
65,89,-5
65,89,-3
67,37,4
67,38,-5
67,39,-5
67,43,1
67,45,-1
67,47,1
67,48,-1
67,50,5
67,50,5
67,51,-3
67,54,1
67,56,3
67,58,-3
67,59,-5
67,62,3
67,62,5
67,64,5
67,67,-1
67,70,5
67,70,5
67,72,-4
67,74,-2
67,74,4
67,77,-4
67,79,-4
67,81,-4
67,82,2
67,83,3
67,86,5
67,86,3
67,86,-2
67,87,5
67,88,4
67,89,-5
67,89,-3
67,93,-5
67,96,-1
67,96,-3
67,96,5
67,96,3
67,96,-2
67,100,-3
67,100,2
67,105,2
67,107,5
67,109,1
67,110,3
68,110,1
68,113,-2
68,113,-5
68,114,5
68,115,-4
68,116,4
68,119,-2
68,120,-4
68,120,1
68,122,-4
68,123,-5
68,123,-3
68,125,3
68,127,4
68,127,4
68,128,-2
68,129,-2
68,130,-2
68,130,-1
68,132,-1
68,132,-5
68,134,-5
68,136,-5
68,138,-5
68,139,2
68,143,-3
70,8,2
70,9,1
70,10,-2
70,10,-5
70,11,-4
71,16,1
71,16,1
71,18,3
71,20,1
71,22,-1
71,25,-1
71,26,-5
71,28,4
71,28,-3
71,29,-5
71,30,4
71,36,1
71,37,4
71,38,-5
71,39,-5
71,43,1
71,45,-1
71,47,1
71,48,-1
71,50,5
71,50,5
71,51,-3
71,54,1
71,56,3
71,58,-3
71,59,-5
71,62,3
71,62,5
71,64,5
71,67,-1
71,70,5
71,70,5
71,72,-4
71,74,-2
72,74,4
72,77,-4
72,79,-4
72,81,-4
72,82,2
72,83,3
72,86,5
72,86,3
72,86,-2
72,87,5
72,88,4
72,89,-5
72,89,-3
72,93,-5
72,96,-1
72,96,-3
72,96,5
72,96,3
72,96,-2
72,100,-3
72,100,2
72,105,2
72,107,5
72,109,1
72,110,3
72,110,1
72,113,-2
72,113,-5
72,114,5
72,115,-4
72,116,4
72,119,-2
72,120,-4
72,120,1
72,122,-4
72,123,-5
72,123,-3
72,125,3
72,127,4
72,127,4
72,128,-2
72,129,-2
72,130,-2
72,130,-1
72,132,-1
72,132,-5
74,10,-5
74,11,-4
74,16,1
74,16,1
74,18,3
74,20,1
74,22,-1
74,25,-1
74,26,-5
74,28,4
74,28,-3
74,29,-5
74,30,4
74,36,1
74,37,4
74,38,-5
75,39,-5
75,43,1
75,45,-1
75,47,1
75,48,-1
75,50,5
75,50,5
75,51,-3
75,54,1
75,56,3
75,58,-3
75,59,-5
75,62,3
75,62,5
75,64,5
75,67,-1
75,70,5
75,70,5
75,72,-4
75,74,-2
75,74,4
75,77,-4
75,79,-4
75,81,-4
75,82,2
75,83,3
75,86,5
75,86,3
75,86,-2
75,87,5
75,88,4
75,89,-5
75,89,-3
75,93,-5
75,96,-1
75,96,-3
75,96,5
75,96,3
75,96,-2
75,100,-3
75,100,2
75,105,2
75,107,5
75,109,1
75,110,3
75,110,1
75,113,-2
75,113,-5
75,114,5
75,115,-4
75,116,4
75,119,-2
75,120,-4
75,120,1
75,122,-4
75,123,-5
75,123,-3
75,125,3
75,127,4
75,127,4
75,128,-2
75,129,-2
75,130,-2
75,130,-1
75,132,-1
75,132,-5
75,134,-5
75,136,-5
75,138,-5
75,139,2
77,70,5
77,70,5
77,72,-4
77,74,-2
77,74,4
77,77,-4
77,79,-4
77,81,-4
77,82,2
77,83,3
77,86,5
77,86,3
77,86,-2
77,87,5
77,88,4
77,89,-5
77,89,-3
77,93,-5
77,96,-1
77,96,-3
77,96,5
77,96,3
77,96,-2
77,100,-3
77,100,2
77,105,2
77,107,5
77,109,1
77,110,3
77,110,1
77,113,-2
77,113,-5
77,114,5
77,115,-4
77,116,4
77,119,-2
77,120,-4
77,120,1
77,122,-4
77,123,-5
77,123,-3
77,125,3
77,127,4
79,67,-1
79,70,5
79,70,5
79,72,-4
79,74,-2
79,74,4
79,77,-4
79,79,-4
79,81,-4
79,82,2
79,83,3
79,86,5
79,86,3
79,86,-2
79,87,5
79,88,4
79,89,-5
79,89,-3
79,93,-5
80,96,-1
80,96,-3
80,96,5
80,96,3
80,96,-2
80,100,-3
80,100,2
80,105,2
80,107,5
80,109,1
80,110,3
80,110,1
80,113,-2
80,113,-5
80,114,5
80,115,-4
80,116,4
83,10,-5
83,11,-4
83,16,1
83,16,1
83,18,3
83,20,1
83,22,-1
83,25,-1
83,26,-5
83,28,4
83,28,-3
83,29,-5
83,30,4
83,36,1
83,37,4
83,38,-5
83,39,-5
83,43,1
83,45,-1
83,47,1
84,48,-1
84,50,5
84,50,5
84,51,-3
84,54,1
84,56,3
84,58,-3
84,59,-5
84,62,3
84,62,5
84,64,5
84,67,-1
84,70,5
84,70,5
84,72,-4
84,74,-2
84,74,4
84,77,-4
84,79,-4
84,81,-4
84,82,2
84,83,3
84,86,5
84,86,3
84,86,-2
84,87,5
84,88,4
84,89,-5
84,89,-3
84,93,-5
84,96,-1
84,96,-3
84,96,5
84,96,3
84,96,-2
84,100,-3
84,100,2
84,105,2
84,107,5
84,109,1
84,110,3
84,110,1
84,113,-2
84,113,-5
84,114,5
84,115,-4
84,116,4
84,119,-2
84,120,-4
84,120,1
84,122,-4
84,123,-5
84,123,-3
84,125,3
84,127,4
84,127,4
84,128,-2
84,129,-2
84,130,-2
84,130,-1
84,132,-1
84,132,-5
84,134,-5
84,136,-5
84,138,-5
84,139,2
84,143,-3
84,146,-2
84,147,5
84,147,-4
84,149,4
84,152,5
84,152,5
84,152,3
84,154,5
84,158,-5
84,160,-3
84,162,5
86,62,5
86,64,5
86,67,-1
86,70,5
86,70,5
86,72,-4
86,74,-2
86,74,4
86,77,-4
86,79,-4
86,81,-4
86,82,2
86,83,3
86,86,5
86,86,3
86,86,-2
86,87,5
86,88,4
86,89,-5
86,89,-3
86,93,-5
86,96,-1
86,96,-3
86,96,5
86,96,3
86,96,-2
86,100,-3
86,100,2
86,105,2
86,107,5
86,109,1
86,110,3
86,110,1
89,25,-1
89,26,-5
89,28,4
89,28,-3
89,29,-5
89,30,4
89,36,1
89,37,4
89,38,-5
89,39,-5
89,43,1
89,45,-1
89,47,1
89,48,-1
89,50,5
89,50,5
89,51,-3
89,54,1
89,56,3
89,58,-3
89,59,-5
89,62,3
89,62,5
89,64,5
89,67,-1
89,70,5
89,70,5
89,72,-4
89,74,-2
89,74,4
89,77,-4
89,79,-4
89,81,-4
89,82,2
89,83,3
89,86,5
89,86,3
89,86,-2
89,87,5
89,88,4
89,89,-5
89,89,-3
89,93,-5
89,96,-1
90,96,-3
91,96,5
91,96,3
91,96,-2
91,100,-3
91,100,2
91,105,2
91,107,5
91,109,1
91,110,3
91,110,1
91,113,-2
91,113,-5
91,114,5
91,115,-4
91,116,4
91,119,-2
91,120,-4
91,120,1
91,122,-4
91,123,-5
91,123,-3
91,125,3
91,127,4
91,127,4
91,128,-2
91,129,-2
91,130,-2
91,130,-1
91,132,-1
91,132,-5
91,134,-5
91,136,-5
91,138,-5
91,139,2
91,143,-3
91,146,-2
91,147,5
93,9,1
93,10,-2
93,10,-5
93,11,-4
93,16,1
93,16,1
93,18,3
93,20,1
93,22,-1
93,25,-1
93,26,-5
93,28,4
93,28,-3
93,29,-5
93,30,4
94,36,1
94,37,4
94,38,-5
94,39,-5
94,43,1
94,45,-1
94,47,1
94,48,-1
94,50,5
94,50,5
94,51,-3
94,54,1
94,56,3
94,58,-3
94,59,-5
94,62,3
94,62,5
94,64,5
94,67,-1
94,70,5
94,70,5
94,72,-4
94,74,-2
94,74,4
96,16,1
96,18,3
96,20,1
96,22,-1
96,25,-1
96,26,-5
96,28,4
96,28,-3
96,29,-5
96,30,4
96,36,1
96,37,4
96,38,-5
96,39,-5
96,43,1
96,45,-1
96,47,1
96,48,-1
96,50,5
97,50,5
97,51,-3
97,54,1
97,56,3
97,58,-3
97,59,-5
97,62,3
97,62,5
97,64,5
97,67,-1
97,70,5
97,70,5
97,72,-4
97,74,-2
97,74,4
97,77,-4
97,79,-4
97,81,-4
97,82,2
97,83,3
97,86,5
97,86,3
97,86,-2
97,87,5
97,88,4
97,89,-5
97,89,-3
97,93,-5
97,96,-1
97,96,-3
97,96,5
97,96,3
97,96,-2
98,100,-3
98,100,2
98,105,2
98,107,5
98,109,1
98,110,3
98,110,1
98,113,-2
98,113,-5
98,114,5
98,115,-4
98,116,4
98,119,-2
98,120,-4
98,120,1
98,122,-4
98,123,-5
98,123,-3
98,125,3
98,127,4
98,127,4
98,128,-2
98,129,-2
98,130,-2
98,130,-1
100,64,5
100,67,-1
100,70,5
100,70,5
100,72,-4
100,74,-2
100,74,4
100,77,-4
100,79,-4
100,81,-4
100,82,2
101,83,3
101,86,5
101,86,3
101,86,-2
102,87,5
102,88,4
102,89,-5
102,89,-3
102,93,-5
102,96,-1
102,96,-3
102,96,5
102,96,3
102,96,-2
103,100,-3
103,100,2
103,105,2
103,107,5
103,109,1
103,110,3
103,110,1
103,113,-2
103,113,-5
103,114,5
103,115,-4
103,116,4
103,119,-2
103,120,-4
103,120,1
103,122,-4
103,123,-5
103,123,-3
103,125,3
103,127,4
103,127,4
103,128,-2
103,129,-2
103,130,-2
103,130,-1
103,132,-1
103,132,-5
103,134,-5
103,136,-5
103,138,-5
103,139,2
105,22,-1
105,25,-1
105,26,-5
105,28,4
105,28,-3
105,29,-5
105,30,4
105,36,1
105,37,4
105,38,-5
105,39,-5
107,4,1
107,5,-4
107,8,2
107,9,1
107,10,-2
107,10,-5
107,11,-4
107,16,1
107,16,1
107,18,3
107,20,1
107,22,-1
107,25,-1
107,26,-5
107,28,4
107,28,-3
107,29,-5
107,30,4
107,36,1
107,37,4
107,38,-5
108,39,-5
108,43,1
108,45,-1
108,47,1
108,48,-1
108,50,5
108,50,5
108,51,-3
108,54,1
108,56,3
108,58,-3
108,59,-5
108,62,3
108,62,5
108,64,5
108,67,-1
108,70,5
108,70,5
108,72,-4
108,74,-2
108,74,4
108,77,-4
108,79,-4
108,81,-4
108,82,2
108,83,3
108,86,5
108,86,3
108,86,-2
108,87,5
108,88,4
108,89,-5
108,89,-3
108,93,-5
108,96,-1
108,96,-3
108,96,5
108,96,3
108,96,-2
108,100,-3
108,100,2
108,105,2
108,107,5
108,109,1
108,110,3
108,110,1
108,113,-2
108,113,-5
108,114,5
108,115,-4
108,116,4
108,119,-2
108,120,-4
108,120,1
108,122,-4
108,123,-5
108,123,-3
108,125,3
108,127,4
108,127,4
